City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mount isa,-20.7333,139.5,23.87,35,40,3.6,AU,1682270321
84,xining,36.6167,101.7667,2.96,72,100,0.98,CN,1682270432
85,richards bay,-28.783,32.0377,20.46,77,0,1.71,ZA,1682270339
86,akureyri,65.6835,-18.0878,4.96,42,0,3.6,IS,1682270355
87,klyuchi,52.2667,79.1667,9.76,43,100,7.58,RU,1682270319
88,queenstown,-31.8976,26.8753,16.59,50,21,1.9,ZA,1682270435
89,conceicao do araguaia,-8.2578,-49.2647,30.82,54,92,3.07,BR,1682270436
90,hermanus,-34.4187,19.2345,20.45,86,100,4.58,ZA,1682270373
91,nuuk,64.1835,-51.7216,4.34,70,100,3.09,GL,1682270437
92,luganville,-15.5333,167.1667,26.17,82,51,2.55,VU,1682270437
93,port alfred,-33.5906,26.891,21.21,70,18,3.58,ZA,1682270309
94,talnakh,69.4865,88.3972,0.67,91,99,4.61,RU,1682270278
95,whitehorse,60.7161,-135.0538,4.5,93,100,4.02,CA,1682270316
96,los altos,37.3852,-122.1141,17.07,80,75,4.12,US,1682270248
97,neyshabur,36.2133,58.7958,20.56,34,82,3.88,IR,1682270439
98,margate,51.3813,1.3862,11.84,87,100,2.24,GB,1682270140
99,ribeira grande,38.5167,-28.7,17.65,88,75,4.02,PT,1682270313
100,inhambane,-23.865,35.3833,25.99,83,40,4.12,MZ,1682270441
101,bodo,67.28,14.405,2.1,59,20,5.14,NO,1682270441
102,stanley,54.868,-1.6985,8.21,88,75,6.69,GB,1682270316
103,tura,25.5198,90.2201,19.41,72,74,1.52,IN,1682270325
104,bridgewater,44.3835,-64.5155,11.17,75,100,6.17,CA,1682270443
105,praia da vitoria,38.7333,-27.0667,22.14,78,75,8.25,PT,1682270387
106,sarh,9.1429,18.3923,31.58,42,84,1.17,TD,1682270443
107,mollendo,-17.0231,-72.0147,23.31,72,3,4.72,PE,1682270444
108,papatowai,-46.5619,169.4708,8.12,74,56,9.96,NZ,1682270313
109,newman,37.3138,-121.0208,21.7,64,23,0.89,US,1682270353
110,selfoss,63.9331,-20.9971,3.78,89,91,3.39,IS,1682270323
111,den helder,52.9599,4.7593,11.68,93,75,2.06,NL,1682270434
112,bechar,31.6167,-2.2167,29.75,16,91,4.77,DZ,1682270446
113,tarrafal de sao nicolau,16.5667,-24.3667,22.39,73,7,8.3,CV,1682270447
114,fada,9.5667,8.3,25.3,67,97,2.79,NG,1682270447
115,baracoa,20.3467,-74.4958,27.83,60,5,3.1,CU,1682270448
116,concepcion del uruguay,-32.4825,-58.2372,24.03,65,100,0.89,AR,1682270449
117,pont rouge,48.8833,-72.0825,8.16,73,100,3.44,CA,1682270449
118,hami,42.8,93.45,13.55,35,100,1.28,CN,1682270313
119,charleston,32.7766,-79.9309,24.1,43,0,3.6,US,1682270380
120,belmonte,-15.8631,-38.8828,25.45,88,88,5.63,BR,1682270307
121,sao vicente,-23.9631,-46.3919,28.1,63,75,5.14,BR,1682270208
122,buchanan,5.8808,-10.0467,29.35,71,88,3.7,LR,1682270453
123,colonia,50.9333,6.95,13.52,82,40,4.12,DE,1682270106
124,astrakhan,46.3497,48.0408,15.93,63,0,1.0,RU,1682270255
125,andergrove,-21.0833,149.1833,22.58,75,100,10.44,AU,1682270454
126,cacapava do sul,-30.5122,-53.4914,24.88,35,100,2.31,BR,1682270454
127,mount pearl,47.5166,-52.7813,3.58,96,100,9.77,CA,1682270185
128,lata,40.1629,-8.3327,18.93,61,52,4.51,PT,1682270357
129,hono,57.6897,11.6497,11.39,79,100,3.12,SE,1682270457
130,castillos,-34.1667,-53.8333,21.95,64,96,3.65,UY,1682270337
131,nadvoitsy,63.8667,34.3167,-0.86,80,100,1.01,RU,1682270458
132,la'ie,21.6477,-157.9253,25.98,80,67,3.62,US,1682270276
133,severo-yeniseyskiy,60.3725,93.0408,1.12,81,100,4.09,RU,1682270391
134,playa del ingles,27.7567,-15.5787,22.44,64,70,1.34,ES,1682270289
135,hasaki,35.7333,140.8333,12.34,56,100,5.69,JP,1682270308
136,udachny,66.4167,112.4,-11.25,95,100,0.96,RU,1682270314
137,san sebastian de la gomera,28.0916,-17.1133,21.2,77,40,4.12,ES,1682270460
138,anaconda,46.1285,-112.9423,6.55,63,89,2.01,US,1682270461
139,carnarvon,-24.8667,113.6333,22.52,77,99,6.61,AU,1682270327
140,muroto-misakicho,33.2833,134.15,13.87,52,97,9.94,JP,1682270368
141,port-gentil,-0.7193,8.7815,28.98,74,20,5.14,GA,1682270463
142,dayrut,27.556,30.8076,28.16,19,100,2.85,EG,1682270464
143,st. john's,47.5649,-52.7093,4.04,96,100,10.28,CA,1682270030
144,mil'kovo,55.6078,37.7956,16.73,44,53,3.18,RU,1682270465
145,kisiwani,-4.1333,37.95,22.11,94,100,0.85,TZ,1682270466
146,enewetak,11.3474,162.3373,27.11,81,100,7.72,MH,1682270351
147,puerto aysen,-45.4,-72.7,13.88,80,100,1.37,CL,1682270403
148,iqaluit,63.7506,-68.5145,0.85,86,100,5.14,CA,1682270320
149,kalabo,-14.97,22.6814,26.44,44,100,1.6,ZM,1682270468
150,prince george,53.9166,-122.753,5.14,95,100,4.12,CA,1682270470
151,papao,-17.75,-149.55,25.82,86,97,9.26,PF,1682270350
152,cururupu,-1.8283,-44.8683,31.95,50,100,3.06,BR,1682270323
153,dudinka,69.4058,86.1778,0.9,93,100,6.67,RU,1682270324
154,sussex,41.1834,-74.6663,19.02,55,75,3.6,US,1682270474
155,ust-nera,64.5667,143.2,-11.13,97,100,3.09,RU,1682270322
156,alenquer,-1.9417,-54.7383,25.81,89,98,2.54,BR,1682270404
157,tarko-sale,64.9225,77.785,0.59,94,100,4.68,RU,1682270476
158,argostolion,38.1811,20.489,18.04,72,20,3.6,GR,1682270476
159,georgetown,5.4112,100.3354,25.96,94,20,1.54,MY,1682270322
160,holualoa,19.6228,-155.9522,22.65,86,100,4.12,US,1682270350
161,kununurra,-15.7667,128.7333,17.99,88,0,0.0,AU,1682270478
162,mount gambier,-37.8333,140.7667,11.01,85,0,2.03,AU,1682270251
163,keflavik,64.0049,-22.5624,6.95,65,20,4.63,IS,1682270330
164,manokwari,-0.8667,134.0833,25.68,83,66,1.22,ID,1682270480
165,ambon,-3.6954,128.1814,26.64,69,20,1.03,ID,1682270358
166,avarua,-21.2078,-159.775,20.03,94,23,1.03,CK,1682270340
167,sarandi del yi,-33.35,-55.6333,22.23,45,99,3.54,UY,1682270481
168,margaret river,-33.95,115.0667,17.22,73,99,8.31,AU,1682270315
169,lago da pedra,-4.3333,-45.1667,31.07,60,96,1.91,BR,1682270483
170,mandalgovi,45.7625,106.2708,5.91,20,98,5.93,MN,1682270483
171,port elizabeth,-33.918,25.5701,22.95,61,0,1.54,ZA,1682270321
172,san antonio de pale,-1.4014,5.6325,28.21,73,81,2.25,GQ,1682270385
173,senanga,-16.1167,23.2667,26.09,39,100,1.09,ZM,1682270486
174,batangafo,7.3008,18.2833,31.05,42,100,2.59,CF,1682270486
175,ciudad satelite,19.5167,-99.25,24.94,25,99,2.23,MX,1682270487
176,haiku-pauwela,20.9219,-156.3051,24.47,87,40,1.54,US,1682270336
177,vuktyl,63.8567,57.3094,-4.14,83,97,4.08,RU,1682270488
178,nicoya,10.1483,-85.452,34.86,36,93,1.88,CR,1682270489
179,sinabang,2.4803,96.3801,27.71,81,96,2.87,ID,1682270490
180,buala,-8.145,159.5921,27.0,84,33,2.31,SB,1682270490
181,cabo san lucas,22.8909,-109.9124,32.61,17,0,2.06,MX,1682270301
182,kodiak,57.79,-152.4072,1.73,51,0,4.63,US,1682270309
